Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-16,Whiplash,2014,https://boxd.it/2udzJd,4.5,,Unique. Tense. Again.,,2022-01-15
2022-01-24,Nobody,2021,https://boxd.it/2w0xWr,3,,"The script’s shared DNA with John Wick is very apparent. It is missing Keanu’s gun play, charm and the overall feel. That said, I enjoyed this and will miss Kolstad’s involvement in Part 4.",,2022-01-23
2022-02-08,Home Team,2022,https://boxd.it/2ySL8L,3,,Like every Happy Madison movie this got poor reviews but here I am enjoying it. Guilty pleasure? Maybe. Nostalgia for <i>that </i>comedy formula? Definitely. Enjoyed it.,,2022-02-07
2022-02-12,Kimi,2022,https://boxd.it/2zxd1t,1.5,,Angela for CEO,,2022-02-11
2022-02-17,Inventing Anna,2022,https://boxd.it/2Aua7L,2,,How did the actress playing young Anna get her accent to sound real and the main actress playing Anna sounds so goofy?,,2022-02-16
2022-02-27,The World's End,2013,https://boxd.it/2CiSJD,4,Yes,Me? They call me “The King”,,2022-02-26
2022-03-04,The Batman,2022,https://boxd.it/2D9pz1,3.5,,"Beautiful. I want to frame it, hang it on my wall and watch it while it loops. It’s an aesthetic both tumblr of yesteryear and Cinemaphiles can go nuts for. Cinematography and soundtrack were on point - and some aspects were familiar from Nolan’s trilogy. 

Overall this was a great movie. I don’t know if I love the blurring of the lines between good and evil in places. Batman had always had some blurring just maybe not to this extent. That’s something Nolan did exceptionally well. 

PS: The batmobile deserves its own spinoff. JAW DROPPING intro.",,2022-03-03
2022-03-21,The Internship,2013,https://boxd.it/2GsJx5,2.5,,Big Head alternate timeline,,2022-03-21
2022-04-08,Sonic the Hedgehog 2,2022,https://boxd.it/2JBwKl,4,,"<b>Sonic 3 & Knuckles the movie</b>.
I’m here for it. 

If you would have told me at 7 years old, that there’d be a movie based on the game I played endlessly I would have been excited. And over 20 years later, I still enjoyed it a whole ton. 

Solid references to this game and others in the series. This is one written and created based on the source material. Take notes, Halo. 

Theater was full of kids and adults cheering; having a good time. 

There’s a stinger right after the first credits so hang around.",,2022-04-07
2022-04-12,F9,2021,https://boxd.it/2KlHwL,2.5,Yes,"""I even seen these two ladies walking with George Washington wigs on their head from the 1700s. I feel like I’m in Transylvania or some damn where."" - Roman, who continues to have his lines written like in FF2.

The escalation of ridiculousness is not just apparent but completely intentional. The fact that these movies are so self aware of this makes me keep watching them. 

As long as they're able to follow the current movie trends (like right now: superheroes and space) they're going to keep making them.",,2022-04-11
2022-04-19,The Way Way Back,2013,https://boxd.it/2LDq6V,4,Yes,"Few, if any other, movies can place this much weight on your shoulders in 90 minutes.",,2022-04-18
2022-05-27,Top Gun: Maverick,2022,https://boxd.it/2Sq2q5,5,,"A true sequel to an 80s film that we don’t see often. Avoided the pitfalls that these films usually fall into (didn’t set it up for a spin-off, thank you).

How often are these sequels so good they connect with the original and improve on it. The practical - real jets - are incredible. Absolutely outstanding film. Shoutout to Hand Zimmer for coming out. 

Can’t wait to see it again.",,2022-05-26
2022-06-05,Top Gun: Maverick,2022,https://boxd.it/2TYvUP,5,Yes,"As Dunkey once said: “if you can [watch this movie] and not feel some kind of emotion come over you, wipe yourself off man, because you are dead.”",,2022-06-04
2022-06-06,Star Wars: The Rise of Skywalker,2019,https://boxd.it/2Ualwd,4,Yes,Watched the Ascendant edit. That’s the way to go. Beautifully done.,,2022-06-05
2022-06-18,Mr. Bean's Holiday,2007,https://boxd.it/2Wfov1,4,Yes,"French art film starring Mr. Bean. 
One of Willem Dafoe's best roles surrounded by classic Mr. Bean. Wholesome.",,2022-06-17
