Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-13,Catch Me If You Can,2002,https://boxd.it/WtsJN,4.5,Yes,,2020-01-12
2020-01-13,Jojo Rabbit,2019,https://boxd.it/Wucm1,4,Yes,,2020-01-12
2020-01-15,Marriage Story,2019,https://boxd.it/WGMYz,4,,,2020-01-14
2020-01-16,The Hateful Eight,2015,https://boxd.it/WNl0L,4,Yes,,2020-01-15
2020-01-17,The Matrix,1999,https://boxd.it/WRwmB,5,Yes,,2020-01-16
2020-01-19,Ford v Ferrari,2019,https://boxd.it/X3TIf,4.5,Yes,,2020-01-18
2020-01-21,Passengers,2016,https://boxd.it/XfsSB,3.5,Yes,,2020-01-20
2020-01-21,Inglourious Basterds,2009,https://boxd.it/XgnBx,5,Yes,,2020-01-20
2020-01-23,Bad Boys,1995,https://boxd.it/XqKPd,3,,,2020-01-22
2020-01-24,Bad Boys II,2003,https://boxd.it/XvEC3,4,,,2020-01-23
2020-01-25,Dunkirk,2017,https://boxd.it/XAPff,5,Yes,,2020-01-24
2020-01-26,Shrek,2001,https://boxd.it/XF6AR,3.5,Yes,,2020-01-25
2020-02-01,Parasite,2019,https://boxd.it/Yd7kt,5,,cinerama,2020-01-31
2020-02-04,Parasite,2019,https://boxd.it/YqWMz,5,Yes,,2020-02-01
2020-02-03,The Other Guys,2010,https://boxd.it/Yps4v,3.5,Yes,,2020-02-02
2020-02-05,Yesterday,2019,https://boxd.it/Yz0sf,4,Yes,,2020-02-04
2020-02-07,Straight Outta Compton,2015,https://boxd.it/YH0Nt,4.5,Yes,,2020-02-06
2020-02-07,Parasite,2019,https://boxd.it/YIpQf,5,Yes,blu-ray,2020-02-06
2020-02-08,Freaks and Geeks: The Documentary,2018,https://boxd.it/YLgsf,4,Yes,,2020-02-07
2020-02-08,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/YMfgT,4,Yes,,2020-02-07
2020-02-08,Uncle Buck,1989,https://boxd.it/YMFnB,4.5,Yes,,2020-02-07
2020-02-08,"The Road to 100,000 Original Prusa 3D printers",2019,https://boxd.it/YN0kj,,,,2020-02-07
2020-02-08,Fahrenheit 451,1966,https://boxd.it/YObsZ,4.5,Yes,,2020-02-07
2020-02-08,Sleeping with Other People,2015,https://boxd.it/YObBd,4,Yes,netflix,2020-02-07
2020-02-09,Walk the Line,2005,https://boxd.it/YR1Rr,3.5,,,2020-02-08
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/Zqcs3,4,,,2020-02-14
2020-02-16,Cheer,2020,https://boxd.it/Zw7yx,3.5,,,2020-02-15
