Date,Name,Year,Letterboxd URI,Rating
2020-06-22,The Adjustment Bureau,2011,https://boxd.it/16T8,3
2020-06-22,Die Hard 2,1990,https://boxd.it/28zw,3.5
2020-06-27,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/jkMG,2.5
2020-07-12,Scoob!,2020,https://boxd.it/dqh8,2.5
2020-07-13,South Park: Imaginationland,2008,https://boxd.it/1KZU,4
2020-07-20,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2020-07-24,Transformers,2007,https://boxd.it/280c,3
2020-07-24,Star Trek,2009,https://boxd.it/1Q6c,4.5
2020-07-25,30 Rock: A One-Time Special,2020,https://boxd.it/qPkM,3
2020-07-26,Palm Springs,2020,https://boxd.it/lCXQ,4
2020-07-30,The Martian,2015,https://boxd.it/8SeG,4.5
2020-08-02,Juno,2007,https://boxd.it/210a,4.5
2020-08-08,The Social Network,2010,https://boxd.it/17ue,5
2020-08-27,Killing Gunther,2017,https://boxd.it/exNW,2.5
2020-09-03,Tenet,2020,https://boxd.it/leq4,4.5
2020-09-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2020-09-14,Game Night,2018,https://boxd.it/fRtu,3
2020-09-18,The Peanut Butter Falcon,2019,https://boxd.it/gzu2,4
2020-09-27,Akira,1988,https://boxd.it/2b1i,3.5
2020-09-29,Bill & Ted Face the Music,2020,https://boxd.it/i7BI,3.5
2020-10-07,The Hedgehog,2015,https://boxd.it/bjQm,1
2020-10-12,50 First Dates,2004,https://boxd.it/285c,5
2020-10-13,Larry David: Curb Your Enthusiasm,1999,https://boxd.it/7L3a,3.5
2020-10-19,Cube,1997,https://boxd.it/2aoU,3
2020-10-25,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,2.5
2020-11-01,It,2017,https://boxd.it/bC8e,3.5
2020-11-02,The Gods Must Be Crazy,1980,https://boxd.it/20eq,3
2020-11-17,Heavyweights,1995,https://boxd.it/1NjW,3.5
2020-11-17,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,3.5
2020-11-20,LEGO Star Wars Holiday Special,2020,https://boxd.it/rtpC,3
2020-11-23,Krampus,2015,https://boxd.it/8Wy6,3
2020-11-30,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,3
2020-12-09,The Real Right Stuff,2020,https://boxd.it/shI0,3.5
2020-12-13,Office Space,1999,https://boxd.it/28Em,4.5
2020-12-25,A Christmas Carol,2009,https://boxd.it/1HKW,4
2020-12-26,Soul,2020,https://boxd.it/ioLA,3.5
2020-12-26,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark,4.5
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/gBtA,2
2020-12-27,Kitbull,2019,https://boxd.it/l4MY,4
2021-01-02,Thor,2011,https://boxd.it/1WQU,3
2021-01-03,The Other Guys,2010,https://boxd.it/1rtq,4
2021-01-08,Land of the Lost,2009,https://boxd.it/1Htc,3
2021-01-11,Soylent Green,1973,https://boxd.it/1SxE,4
